Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1141120465

---

Date,Income,Expenditure,Net,# Transactions
2022-02-10,0.00,"70,000.00","-70,000.00",1
2022-02-11,0.00,"50,000.00","-50,000.00",1
2022-02-12,0.00,"36,000.00","-36,000.00",1
2022-02-14,0.00,"60,000.00","-60,000.00",1
2022-02-15,"25,880.00",0.00,"25,880.00",1
2022-02-16,0.00,"55,000.00","-55,000.00",1
2022-02-18,0.00,"100,000.00","-100,000.00",1
2022-02-22,0.00,"77,300.00","-77,300.00",1
2022-02-24,0.00,"250,000.00","-250,000.00",1
2022-02-25,0.00,"30,000.00","-30,000.00",1
2022-03-01,"4,000,000.00",0.00,"4,000,000.00",2
2022-03-03,0.00,"834,000.00","-834,000.00",2
2022-03-04,0.00,"198,075.00","-198,075.00",5
2022-03-06,0.00,"351,000.00","-351,000.00",3
2022-03-08,0.00,"57,000.00","-57,000.00",2
2022-03-10,0.00,"52,000.00","-52,000.00",2
2022-03-11,0.00,"45,500.00","-45,500.00",2
2022-03-12,0.00,"63,000.00","-63,000.00",3
2022-03-13,0.00,"192,000.00","-192,000.00",1
2022-03-14,0.00,"7,000.00","-7,000.00",1
2022-03-15,0.00,"50,000.00","-50,000.00",1
2022-03-16,0.00,"204,000.00","-204,000.00",3
2022-03-17,"200,000.00","40,000.00","160,000.00",2
2022-03-18,0.00,"385,600.00","-385,600.00",3
2022-03-19,0.00,"159,000.00","-159,000.00",3
2022-03-21,0.00,"20,000.00","-20,000.00",1
2022-03-22,0.00,"164,000.00","-164,000.00",4
2022-03-23,0.00,"80,100.00","-80,100.00",1
2022-03-24,0.00,"140,000.00","-140,000.00",5
2022-03-25,0.00,"190,000.00","-190,000.00",5
2022-04-02,0.00,"8,000.00","-8,000.00",1
2022-04-03,"150,000.00","272,000.00","-122,000.00",5
2022-04-04,0.00,"39,000.00","-39,000.00",2
2022-04-05,"4,000,000.00","89,000.00","3,911,000.00",4
2022-04-06,0.00,"1,509,000.00","-1,509,000.00",4
2022-04-07,0.00,"156,000.00","-156,000.00",3
2022-04-08,0.00,"542,500.00","-542,500.00",7
2022-04-09,0.00,"49,000.00","-49,000.00",3
2022-04-10,0.00,"34,000.00","-34,000.00",1
2022-04-11,0.00,"132,000.00","-132,000.00",3
2022-04-12,0.00,"60,000.00","-60,000.00",2
2022-04-13,0.00,"95,000.00","-95,000.00",1
2022-04-14,0.00,"22,000.00","-22,000.00",1
2022-04-16,0.00,"175,250.00","-175,250.00",4
2022-04-17,0.00,"25,000.00","-25,000.00",1
2022-04-18,0.00,"25,000.00","-25,000.00",1
2022-04-19,0.00,"16,060.00","-16,060.00",2
2022-04-20,0.00,"42,000.00","-42,000.00",2
2022-04-21,0.00,"7,800.00","-7,800.00",1
2022-04-22,0.00,"75,000.00","-75,000.00",2
2022-04-23,0.00,"169,000.00","-169,000.00",5
2022-04-26,0.00,"90,000.00","-90,000.00",2
2022-04-27,0.00,"50,000.00","-50,000.00",2
2022-04-29,0.00,"37,000.00","-37,000.00",2
2022-04-30,0.00,"125,000.00","-125,000.00",4
2022-05-02,0.00,"66,000.00","-66,000.00",1
2022-05-03,0.00,"16,000.00","-16,000.00",2
2022-05-04,"4,000,000.00","32,000.00","3,968,000.00",4
2022-05-05,0.00,"264,000.00","-264,000.00",8
2022-05-06,0.00,"798,900.00","-798,900.00",14
2022-05-07,0.00,"1,459,000.00","-1,459,000.00",3
2022-05-08,0.00,"207,520.00","-207,520.00",2
2022-05-09,0.00,"22,000.00","-22,000.00",1
2022-05-10,"31,090.00","245,000.00","-213,910.00",3
2022-05-11,0.00,"68,500.00","-68,500.00",2
2022-05-12,0.00,"17,000.00","-17,000.00",1
2022-05-13,"150,000.00","248,000.00","-98,000.00",11
2022-05-14,0.00,"30,000.00","-30,000.00",1
2022-05-16,0.00,"261,800.00","-261,800.00",7
2022-05-19,0.00,"79,150.00","-79,150.00",4
2022-05-20,0.00,"95,213.00","-95,213.00",3
2022-05-22,0.00,"15,900.00","-15,900.00",1
2022-05-23,"150,000.00","22,650.00","127,350.00",2
2022-05-24,0.00,"17,000.00","-17,000.00",2
2022-05-25,0.00,"224,000.00","-224,000.00",3
2022-05-27,0.00,"96,000.00","-96,000.00",3
2022-05-28,0.00,"18,400.00","-18,400.00",1
2022-05-29,0.00,"29,000.00","-29,000.00",2
2022-05-30,0.00,"34,000.00","-34,000.00",2
2022-05-31,0.00,"45,100.00","-45,100.00",2
2022-06-02,"1,500,000.00","127,000.00","1,373,000.00",4
2022-06-03,0.00,"151,000.00","-151,000.00",6
2022-06-04,0.00,"1,100,000.00","-1,100,000.00",1
2022-06-05,"1,000,000.00","60,000.00","940,000.00",3
2022-06-06,0.00,"809,000.00","-809,000.00",3
2022-06-07,0.00,"276,900.00","-276,900.00",7
2022-06-09,0.00,"125,000.00","-125,000.00",1
2022-06-10,"1,500,000.00","81,000.00","1,419,000.00",4
2022-06-11,0.00,"750,000.00","-750,000.00",1
2022-06-13,0.00,"29,000.00","-29,000.00",2
2022-06-15,0.00,"37,200.00","-37,200.00",1
2022-06-17,0.00,"109,000.00","-109,000.00",5
2022-06-18,0.00,"93,000.00","-93,000.00",8
2022-06-20,0.00,"114,000.00","-114,000.00",4
2022-06-21,0.00,"46,500.00","-46,500.00",2
2022-06-22,0.00,"10,000.00","-10,000.00",1
2022-06-23,0.00,"22,000.00","-22,000.00",1
2022-06-24,0.00,"35,000.00","-35,000.00",2
2022-06-25,0.00,"41,000.00","-41,000.00",3
2022-06-27,0.00,"83,150.00","-83,150.00",2
2022-06-28,0.00,"18,000.00","-18,000.00",2
2022-06-29,0.00,"11,800.00","-11,800.00",1
2022-06-30,0.00,"46,000.00","-46,000.00",2
2022-07-01,"1,576,500.00","46,000.00","1,530,500.00",4
2022-07-02,0.00,"150,000.00","-150,000.00",1
2022-07-03,0.00,"134,000.00","-134,000.00",3
2022-07-04,"1,000,000.00","62,000.00","938,000.00",4
